"","region","state","year","abundance","simpson","richness","evenness","encs"
"414","central_west","jalisco",1986,1.16538643946494,0.488931443616774,64,0.280216206155885,3.20716201773625
"415","central_west","jalisco",1987,1.2511232268663,0.52655208537199,68,0.296509288354074,3.49426560704454
"416","central_west","jalisco",1988,1.26056410397558,0.524621147493513,70,0.296708371354446,3.52741075266547
"417","central_west","jalisco",1989,1.31507941446935,0.547940940942748,69,0.310591954416233,3.72504679611984
"418","central_west","jalisco",1990,1.26944726773418,0.517988474532708,68,0.300851984741476,3.55888490809358
"419","central_west","jalisco",1991,1.25776687840214,0.47577518663335,73,0.293154356929541,3.51755757630319
"420","central_west","jalisco",1992,1.0429900135695,0.384509137476546,74,0.242326728565586,2.83768907108603
"421","central_west","jalisco",1993,0.907995586013063,0.299894949922224,76,0.209663240533999,2.4793479098189
"422","central_west","jalisco",1994,0.950054558607282,0.342798846231965,70,0.223621424640928,2.58585073588213
"423","central_west","jalisco",1995,1.0258063590586,0.378230201247703,74,0.238334304162426,2.7893437665868
"424","central_west","jalisco",1996,1.15910215061924,0.44742881635762,71,0.271918648374732,3.1870704818709
"425","central_west","jalisco",1997,1.11692548676186,0.413537345173823,72,0.26116733354411,3.05544573910708
"426","central_west","jalisco",1998,1.12369502017209,0.421020098056062,82,0.254995827308421,3.07619984968617
"427","central_west","jalisco",1999,1.27130231191786,0.47388342476639,84,0.286922788649204,3.56549292402854
"428","central_west","jalisco",2000,1.33655183396017,0.498780041344146,80,0.305007692875341,3.80589748709874
"429","central_west","jalisco",2001,1.26200028805536,0.477027484533888,83,0.285595340512777,3.53248040343576
"430","central_west","jalisco",2002,1.26339717853757,0.469081037814815,80,0.288313441214762,3.53741833976511
"431","central_west","jalisco",2003,1.32169108850593,0.483809554365792,81,0.300763768560306,3.74975718982479
"432","central_west","jalisco",2004,1.34294638000977,0.481739593589235,81,0.305600618585351,3.83031245195418
"433","central_west","jalisco",2005,1.36577222552779,0.49152782847103,77,0.314418371195127,3.91874804112984
