"","region","year","abundance","simpson","richness","evenness","encs"
"150","south",1981,1.6177466241442,0.6070103999934,77,0.372426125720391,5.04171662426183
"151","south",1982,1.73862164070403,0.650806129388604,75,0.402692860983925,5.68949584603555
"152","south",1983,1.68899229097331,0.635492583008335,82,0.383276582010949,5.4140221962609
"153","south",1984,1.74021646478359,0.636962667132846,79,0.398269191792975,5.69857683037287
"154","south",1985,1.72606414202418,0.632770860005467,82,0.391689155848933,5.61849672811446
"155","south",1986,1.64947723054342,0.625633341701545,81,0.375354719667105,5.20425848854351
"156","south",1987,1.58861207098743,0.597418227664587,79,0.36357272695004,4.89694759389514
"157","south",1988,1.69235468021648,0.637716675208468,78,0.388447965548894,5.43225688513718
"158","south",1989,1.5834732200857,0.601752834594341,70,0.372713897479116,4.87184745849979
"159","south",1990,1.55563452365905,0.589160841966052,70,0.366161295948316,4.73809200300984
"160","south",1991,1.58723470434972,0.615641228148419,71,0.372356064760698,4.89020734461553
"161","south",1992,1.56460535119309,0.606981306874068,72,0.365846972303056,4.78078783133423
"162","south",1993,1.54017855142759,0.601079942063487,73,0.358977534353604,4.66542321459957
"163","south",1994,1.50775508703226,0.591664285156648,77,0.347104656080299,4.5165800756556
"164","south",1995,1.49178194886912,0.570362707070785,79,0.341412004271169,4.44500924517958
"165","south",1996,1.48441137020703,0.566875988801506,83,0.33592779236887,4.41236739731134
"166","south",1997,1.51370471443148,0.569023698185946,84,0.341631076876535,4.54353214209677
"167","south",1998,1.54001193157845,0.567826443309096,87,0.344837352373116,4.66464592724492
"168","south",1999,1.58250068027005,0.58027576145516,87,0.354351374507634,4.86711169610266
"169","south",2000,1.59732375614233,0.583417313051041,89,0.355859469239574,4.93979462348523
"170","south",2001,1.59668365210557,0.592253300738462,88,0.356614594404073,4.93663365278897
"171","south",2002,1.69108204966428,0.632869250116475,89,0.376747392831288,5.42534802620269
"172","south",2003,1.57434321343624,0.587255604401285,92,0.348168249490264,4.82756989360953
"173","south",2004,1.64500231213861,0.613181601056741,94,0.362072546680913,5.18102188617538
"174","south",2005,1.68962494097292,0.631177020746913,91,0.374568292036566,5.41744846110023
"175","south",2006,1.64677673472985,0.614628373010706,90,0.365965864198204,5.19022336970177
"176","south",2007,1.71830511057668,0.643953067200474,92,0.380005628590901,5.57507132271623
"177","south",2008,1.74924261123431,0.651222121730219,94,0.38501631416492,5.75024585469995
"178","south",2009,1.76291664521489,0.653048702249341,94,0.388026031701617,5.82941495884645
"179","south",2010,1.67731049275853,0.624287174608995,93,0.370054864828054,5.35114465783582
"180","south",2011,1.66341366092332,0.614471801227304,93,0.366988890908187,5.27729502684629
"181","south",2012,1.65269772036557,0.615048878035831,92,0.365496460571833,5.22104576715848
"182","south",2013,1.68933345740899,0.628862501812882,93,0.372707418769477,5.41586959403345
"183","south",2014,1.72572065764747,0.641594348969655,94,0.379839024397453,5.61656719366921
"184","south",2015,1.62839752467816,0.60162080469961,97,0.355956372398173,5.09570243494471
"185","south",2016,1.75223253044837,0.639683392280734,96,0.383895456031121,5.76746435339927
