"","region","crop_group","FAO_crop","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"30","central","Fruits","Cranberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,155
"31","central","Fruits","Figs",2880,2944,2709,2232,484,522,315,246,282,382,462,543,552,552,509,538,517,518,522,526,541,569,606,615,639.1,673.7,731.35,768.05,515.95,517.45,509.45,509.55,781.55,822.55,898.05,888,1028.3
"32","central","Fruits","Fruit, fresh nes",13223,12177,13365,18062,8496,10655,16576,17931,17579,15022,15385,17380,19231,21399,21578,21789,26728.3,26263,26509,30757.25,32097.3,32731.3,32149.3,32878.5,33264.6,33507.35,33519.6,34038.9,34973.2,35377.45,38285.97,38324,38404.3,38954.8,37355.8,38079,37854.75
"33","central","Fruits","Fruit, tropical fresh nes",4500,4146,4483,2867,2126,287,455,329,283,563,540,673,579,567,511,487,625,655,698,761,877.95,884.45,1155,1260,2034.5,2291.6,2427.16,2477,2966.17,2989.5,2974.15,3060.75,3224.75,3305.25,3287.75,3344,3630.8
"34","central","Fruits","Grapefruit (inc. pomelos)",8865,8917,7022,3726,2658,1320,1395,1412,2567,2746,4801,4662,4641,4562,5245,5482,5520,5649,5239,5149.5,6263.5,6321.75,6640.25,7344.25,7819.05,6590.5,7513.84,7232.25,8174.25,8165.25,8118.25,8023.25,7550.75,7717,7409.75,7774,7710.05
"35","central","Fruits","Grapes",35,72,56,94,6,4,6,5,7,5,1,6,8,8,8,8,3,NA,NA,1,1,16,16,16,16,16,11.8,11.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2,1
"36","central","Fruits","Lemons and limes",16404,16686,23661,23198,23234,14092,14054,13117,15763,15280,13327,14560,17365,18700,19669,19432,20947,21199,23824,25204.25,28632.5,32205,33698,36204.15,37240.65,37017.55,39024.85,43263.35,46281.38,46340.06,46776.51,48242.82,48364.02,49600.85,50100.61,52599,53527.54
"37","central","Fruits","Mangoes, mangosteens, guavas",26590,26189,28662,30202,30510,47542,51326,46586,39268,45355,44072,49659,50579,44276,51025,52142,52200,52352,52262.5,48996.5,50292.78,53666.05,50874.55,51235.8,49692.82,44732.75,48849.07,48063.3,49444.82,48091.83,49293.89,47758.26,44299.06,46360.7,44148.46,44358,43903.44
"38","central","Fruits","Melons, other (inc.cantaloupes)",3240,2667,3016,2533,2300,2565,2172,2792,2296,6646,3735,5110,4307,4560,3189,4339,4083.5,4374,2504,4097,3701,2648,2914,3204.5,3117.8,3199,3203,3048,3879,3988.5,3733.5,4245,3626,2980,3566.25,3685,3534.5
"39","central","Fruits","Oranges",76815,79651,88473,87502,92354,65428,69719,95485,80430,89197,111215,118391,120612,127890,131119,142427,155223,163493,161528,162757,166873.9,172547.36,179338.69,173440.85,176480.64,168914.85,170084.1,178551.65,187793.25,187518.5,188317.39,189501.75,184445.5,184276.75,187270.95,189090,190879.65
